note	subcategory	name	unit	Column1	Column2	metabolite	raw.label	class	subclass	label	label.no.units	raw.label.no.units	subclass.abbreviated
L.VLDL.FC	Lipid	Free cholesterol in large VLDL	SD	x	20	lvldlfc	Free cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Free cholesterol (mmol/l)	Free cholesterol	Free cholesterol in large VLDL	L VLDL
L.VLDL.TG	Lipid	Triglycerides in large VLDL	SD	x	21	lvldltg	Triglycerides in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in large VLDL	L VLDL
M.VLDL.P	Lipid	Concentration of medium VLDL particles	SD	x	22	mvldlp	Concentration of medium VLDL particles (mol/l)	Lipoprotein subclasses	Medium VLDL	Particle concentration (mol/l)	Particle concentration	Concentration of medium VLDL particles	M VLDL
M.VLDL.L	Lipid	Total lipids in medium VLDL	SD	x	23	mvldll	Total lipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total lipids (mmol/l)	Total lipids	Total lipids in medium VLDL	M VLDL
M.VLDL.PL	Lipid	Phospholipids in medium VLDL	SD	x	24	mvldlpl	Phospholipids in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in medium VLDL	M VLDL
M.VLDL.C	Lipid	Total cholesterol in medium VLDL	SD	x	25	mvldlc	Total cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in medium VLDL	M VLDL
M.VLDL.CE	Lipid	Cholesterol esters in medium VLDL	SD	x	26	mvldlce	Cholesterol esters in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	Cholesterol esters in medium VLDL	M VLDL
M.VLDL.FC	Lipid	Free cholesterol in medium VLDL	SD	x	27	mvldlfc	Free cholesterol in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Free cholesterol (mmol/l)	Free cholesterol	Free cholesterol in medium VLDL	M VLDL
M.VLDL.TG	Lipid	Triglycerides in medium VLDL	SD	x	28	mvldltg	Triglycerides in medium VLDL (mmol/l)	Lipoprotein subclasses	Medium VLDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in medium VLDL	M VLDL
S.VLDL.P	Lipid	Concentration of small VLDL particles	SD	x	29	svldlp	Concentration of small VLDL particles (mol/l)	Lipoprotein subclasses	Small VLDL	Particle concentration (mol/l)	Particle concentration	Concentration of small VLDL particles	S VLDL
S.VLDL.L	Lipid	Total lipids in small VLDL	SD	x	30	svldll	Total lipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total lipids (mmol/l)	Total lipids	Total lipids in small VLDL	S VLDL
S.VLDL.PL	Lipid	Phospholipids in small VLDL	SD	x	31	svldlpl	Phospholipids in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in small VLDL	S VLDL
S.VLDL.C	Lipid	Total cholesterol in small VLDL	SD	x	32	svldlc	Total cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in small VLDL	S VLDL
S.VLDL.FC	Lipid	Free cholesterol in small VLDL	SD	x	34	svldlfc	Free cholesterol in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Free cholesterol (mmol/l)	Free cholesterol	Free cholesterol in small VLDL	S VLDL
S.VLDL.TG	Lipid	Triglycerides in small VLDL	SD	x	35	svldltg	Triglycerides in small VLDL (mmol/l)	Lipoprotein subclasses	Small VLDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in small VLDL	S VLDL
XS.VLDL.P	Lipid	Concentration of very small VLDL particles	SD	x	36	xsvldlp	Concentration of very small VLDL particles (mol/l)	Lipoprotein subclasses	Very Small VLDL	Particle concentration (mol/l)	Particle concentration	Concentration of very small VLDL particles	VS VLDL
XS.VLDL.L	Lipid	Total lipids in very small VLDL	SD	x	37	xsvldll	Total lipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Total lipids (mmol/l)	Total lipids	Total lipids in very small VLDL	VS VLDL
XS.VLDL.PL	Lipid	Phospholipids in very small VLDL	SD	x	38	xsvldlpl	Phospholipids in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in very small VLDL	VS VLDL
XS.VLDL.TG	Lipid	Triglycerides in very small VLDL	SD	x	42	xsvldltg	Triglycerides in very small VLDL (mmol/l)	Lipoprotein subclasses	Very Small VLDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in very small VLDL	VS VLDL
IDL.P	Lipid	Concentration of IDL particles	SD	x	43	idlp	Concentration of IDL particles (mol/l)	Lipoprotein subclasses	IDL	Particle concentration (mol/l)	Particle concentration	Concentration of IDL particles	IDL
IDL.L	Lipid	Total lipids in IDL	SD	x	44	idll	Total lipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total lipids (mmol/l)	Total lipids	Total lipids in IDL	IDL
IDL.PL	Lipid	Phospholipids in IDL	SD	x	45	idlpl	Phospholipids in IDL (mmol/l)	Lipoprotein subclasses	IDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in IDL	IDL
IDL.C	Lipid	Total cholesterol in IDL	SD	x	46	idlc	Total cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in IDL	IDL
IDL.FC	Lipid	Free cholesterol in IDL	SD	x	48	idlfc	Free cholesterol in IDL (mmol/l)	Lipoprotein subclasses	IDL	Free cholesterol (mmol/l)	Free cholesterol	Free cholesterol in IDL	IDL
IDL.TG	Lipid	Triglycerides in IDL	SD	x	49	idltg	Triglycerides in IDL (mmol/l)	Lipoprotein subclasses	IDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in IDL	IDL
L.LDL.P	Lipid	Concentration of large LDL particles	SD	x	50	lldlp	Concentration of large LDL particles (mol/l)	Lipoprotein subclasses	Large LDL	Particle concentration (mol/l)	Particle concentration	Concentration of large LDL particles	L LDL
L.LDL.L	Lipid	Total lipids in large LDL	SD	x	51	lldll	Total lipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total lipids (mmol/l)	Total lipids	Total lipids in large LDL	L LDL
L.LDL.PL	Lipid	Phospholipids in large LDL	SD	x	52	lldlpl	Phospholipids in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in large LDL	L LDL
L.LDL.C	Lipid	Total cholesterol in large LDL	SD	x	53	lldlc	Total cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in large LDL	L LDL
L.LDL.CE	Lipid	Cholesterol esters in large LDL	SD	x	54	lldlce	Cholesterol esters in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Cholesterol esters (mmol/l)	Cholesterol esters	Cholesterol esters in large LDL	L LDL
L.LDL.FC	Lipid	Free cholesterol in large LDL	SD	x	55	lldlfc	Free cholesterol in large LDL (mmol/l)	Lipoprotein subclasses	Large LDL	Free cholesterol (mmol/l)	Free cholesterol	Free cholesterol in large LDL	L LDL
M.LDL.P	Lipid	Concentration of medium LDL particles	SD	x	57	mldlp	Concentration of medium LDL particles (mol/l)	Lipoprotein subclasses	Medium LDL	Particle concentration (mol/l)	Particle concentration	Concentration of medium LDL particles	M LDL
M.LDL.L	Lipid	Total lipids in medium LDL	SD	x	58	mldll	Total lipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total lipids (mmol/l)	Total lipids	Total lipids in medium LDL	M LDL
M.LDL.PL	Lipid	Phospholipids in medium LDL	SD	x	59	mldlpl	Phospholipids in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in medium LDL	M LDL
M.LDL.C	Lipid	Total cholesterol in medium LDL	SD	x	60	mldlc	Total cholesterol in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in medium LDL	M LDL
M.LDL.CE	Lipid	Cholesterol esters in medium LDL	SD	x	61	mldlce	Cholesterol esters in medium LDL (mmol/l)	Lipoprotein subclasses	Medium LDL	Cholesterol esters (mmol/l)	Cholesterol esters	Cholesterol esters in medium LDL	M LDL
S.LDL.P	Lipid	Concentration of small LDL particles	SD	x	64	sldlp	Concentration of small LDL particles (mol/l)	Lipoprotein subclasses	Small LDL	Particle concentration (mol/l)	Particle concentration	Concentration of small LDL particles	S LDL
S.LDL.L	Lipid	Total lipids in small LDL	SD	x	65	sldll	Total lipids in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total lipids (mmol/l)	Total lipids	Total lipids in small LDL	S LDL
S.LDL.C	Lipid	Total cholesterol in small LDL	SD	x	67	sldlc	Total cholesterol in small LDL (mmol/l)	Lipoprotein subclasses	Small LDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in small LDL	S LDL
XL.HDL.P	Lipid	Concentration of very large HDL particles	SD	x	71	xlhdlp	Concentration of very large HDL particles (mol/l)	Lipoprotein subclasses	Very large HDL	Particle concentration (mol/l)	Particle concentration	Concentration of very large HDL particles	VL HDL
XL.HDL.L	Lipid	Total lipids in very large HDL	SD	x	72	xlhdll	Total lipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total lipids (mmol/l)	Total lipids	Total lipids in very large HDL	VL HDL
XL.HDL.PL	Lipid	Phospholipids in very large HDL	SD	x	73	xlhdlpl	Phospholipids in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in very large HDL	VL HDL
XL.HDL.C	Lipid	Total cholesterol in very large HDL	SD	x	74	xlhdlc	Total cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in very large HDL	VL HDL
XL.HDL.CE	Lipid	Cholesterol esters in very large HDL	SD	x	75	xlhdlce	Cholesterol esters in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	Cholesterol esters in very large HDL	VL HDL
XL.HDL.FC	Lipid	Free cholesterol in very large HDL	SD	x	76	xlhdlfc	Free cholesterol in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Free cholesterol (mmol/l)	Free cholesterol	Free cholesterol in very large HDL	VL HDL
XL.HDL.TG	Lipid	Triglycerides in very large HDL	SD	x	77	xlhdltg	Triglycerides in very large HDL (mmol/l)	Lipoprotein subclasses	Very large HDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in very large HDL	VL HDL
L.HDL.P	Lipid	Concentration of large HDL particles	SD	x	78	lhdlp	Concentration of large HDL particles (mol/l)	Lipoprotein subclasses	Large HDL	Particle concentration (mol/l)	Particle concentration	Concentration of large HDL particles	L HDL
L.HDL.L	Lipid	Total lipids in large HDL	SD	x	79	lhdll	Total lipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total lipids (mmol/l)	Total lipids	Total lipids in large HDL	L HDL
L.HDL.PL	Lipid	Phospholipids in large HDL	SD	x	80	lhdlpl	Phospholipids in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in large HDL	L HDL
L.HDL.C	Lipid	Total cholesterol in large HDL	SD	x	81	lhdlc	Total cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in large HDL	L HDL
L.HDL.CE	Lipid	Cholesterol esters in large HDL	SD	x	82	lhdlce	Cholesterol esters in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Cholesterol esters (mmol/l)	Cholesterol esters	Cholesterol esters in large HDL	L HDL
L.HDL.FC	Lipid	Free cholesterol in large HDL	SD	x	83	lhdlfc	Free cholesterol in large HDL (mmol/l)	Lipoprotein subclasses	Large HDL	Free cholesterol (mmol/l)	Free cholesterol	Free cholesterol in large HDL	L HDL
M.HDL.P	Lipid	Concentration of medium HDL particles	SD	x	85	mhdlp	Concentration of medium HDL particles (mol/l)	Lipoprotein subclasses	Medium HDL	Particle concentration (mol/l)	Particle concentration	Concentration of medium HDL particles	M HDL
M.HDL.L	Lipid	Total lipids in medium HDL	SD	x	86	mhdll	Total lipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total lipids (mmol/l)	Total lipids	Total lipids in medium HDL	M HDL
M.HDL.PL	Lipid	Phospholipids in medium HDL	SD	x	87	mhdlpl	Phospholipids in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in medium HDL	M HDL
M.HDL.C	Lipid	Total cholesterol in medium HDL	SD	x	88	mhdlc	Total cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in medium HDL	M HDL
M.HDL.CE	Lipid	Cholesterol esters in medium HDL	SD	x	89	mhdlce	Cholesterol esters in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Cholesterol esters (mmol/l)	Cholesterol esters	Cholesterol esters in medium HDL	M HDL
M.HDL.FC	Lipid	Free cholesterol in medium HDL	SD	x	90	mhdlfc	Free cholesterol in medium HDL (mmol/l)	Lipoprotein subclasses	Medium HDL	Free cholesterol (mmol/l)	Free cholesterol	Free cholesterol in medium HDL	M HDL
S.HDL.P	Lipid	Concentration of small HDL particles	SD	x	92	shdlp	Concentration of small HDL particles (mol/l)	Lipoprotein subclasses	Small HDL	Particle concentration (mol/l)	Particle concentration	Concentration of small HDL particles	S HDL
S.HDL.L	Lipid	Total lipids in small HDL	SD	x	93	shdll	Total lipids in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Total lipids (mmol/l)	Total lipids	Total lipids in small HDL	S HDL
S.HDL.TG	Lipid	Triglycerides in small HDL	SD	x	98	shdltg	Triglycerides in small HDL (mmol/l)	Lipoprotein subclasses	Small HDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in small HDL	S HDL
VLDL.D	Lipid	Mean diameter for VLDL particles	SD	x	99	vldld	Mean diameter for VLDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	VLDL particle size (nm)	VLDL particles size	Mean diameter for VLDL particles	Lipoprotein particle size
LDL.D	Lipid	Mean diameter for LDL particles	SD	x	100	ldld	Mean diameter for LDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	LDL particle size (nm)	LDL particles size	Mean diameter for LDL particles	Lipoprotein particle size
HDL.D	Lipid	Mean diameter for HDL particles	SD	x	101	hdld	Mean diameter for HDL particles (nm)	Lipoprotein particle size	Lipoprotein particle size	HDL particle size (nm)	HDL particles size	Mean diameter for HDL particles	Lipoprotein particle size
Serum.C	Lipid	Serum total cholesterol	SD	x	102	serumc	Serum total cholesterol (mmol/l)	Cholesterol	Cholesterol	Total cholesterol (mmol/l)	Total C	Serum total cholesterol	Cholesterol
LDL.C	Lipid	Total cholesterol in LDL	SD	x	105	ldlc	Total cholesterol in LDL (mmol/l)	Cholesterol	Cholesterol	LDL cholesterol (mmol/l)	LDL C	Total cholesterol in LDL	Cholesterol
HDL.C	Lipid	Total cholesterol in HDL	SD	x	106	hdlc	Total cholesterol in HDL (mmol/l)	Cholesterol	Cholesterol	HDL cholesterol (mmol/l)	HDL C	Total cholesterol in HDL	Cholesterol
Est.C	Lipid	Free cholesterol to esterified cholesterol ratio	SD	x	109	estc	Esterified cholesterol (mmol/l)	Cholesterol	Cholesterol	Esterified cholesterol (mmol/l)	Esterified C	Esterified cholesterol	Cholesterol
Free.C	Lipid	Free cholesterol	SD	x	110	freec	Free cholesterol (mmol/l)	Cholesterol	Cholesterol	Free cholesterol (mmol/l)	Free C	Free cholesterol	Cholesterol
Serum.TG	Lipid	Serum total triglycerides	SD	x	111	serumtg	Serum total triglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Triglycerides (mmol/l)	Triglycerides	Serum total triglycerides	Glycerides and phospholipids
TotPG	Lipid	Total phosphoglycerides	SD	x	116	totpg	Total phosphoglycerides (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Phosphoglycerides (mmol/l)	Phosphoglycerides	Total phosphoglycerides	Glycerides and phospholipids
PC	Lipid	Phosphatidylcholine and other cholines	SD	x	117	pc	Phosphatidylcholine and other cholines (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Phosphatidylcholine + other cholines (mmol/l)	Phosphatidylcholine + other cholines	Phosphatidylcholine and other cholines	Glycerides and phospholipids
SM	Lipid	Sphingomyelins	SD	x	118	sm	Sphingomyelins (mmol/l)	Glycerides and phospholipids	Glycerides and phospholipids	Sphingomyelins (mmol/l)	Sphingomyelins	Sphingomyelins	Glycerides and phospholipids
ApoA1	Protein	Apolipoprotein A-I	SD	x	120	apoa1	Apolipoprotein A-I (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein A-I (g/l)	Apolipoprotein A-I	Apolipoprotein A-I	Apolipoproteins
ApoB	Protein	Apolipoprotein B	SD	x	121	apob	Apolipoprotein B (g/l)	Apolipoproteins	Apolipoproteins	Apolipoprotein B (g/l)	Apolipoprotein B	Apolipoprotein B	Apolipoproteins
NA	Fatty acid	Total fatty acids	SD	x	123	totfa	Total fatty acids (mmol/l)	Fatty acids	Fatty acids	Total fatty acids (mmol/l)	Total fatty acids	Total fatty acids	Fatty acids
NA	Fatty acid	"Description of average fatty acid chain length, not actual carbon number"	SD	x	124	falen	"Estimated description of fatty acid chain length, not actual carbon number"	Fatty acids	Fatty acids	Fatty acid chain length	Fatty acid chain length	"Estimated description of fatty acid chain length, not actual carbon number"	Fatty acids
NA	Fatty acid	"22:6, docosahexaenoic acid"	SD	x	126	dha	"22:6, docosahexaenoic acid (mmol/l)"	Fatty acids	Fatty acids	Docosahexaenoic acid (mmol/l)	Docosahexaenoic acid	"22:6, docosahexaenoic acid"	Fatty acids
NA	Fatty acid	"18:2, linoleic acid (LA)"	SD	x	127	la	"18:2, linoleic acid (mmol/l)"	Fatty acids	Fatty acids	Linoleic acid (mmol/l)	Linoleic acid	"18:2, linoleic acid"	Fatty acids
NA	Fatty acid	Omega-3 fatty acids	SD	x	129	faw3	Omega-3 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-3 fatty acids (mmol/l)	n-3 fatty acids	Omega-3 fatty acids	Fatty acids
NA	Fatty acid	Omega-6 fatty acids	SD	x	130	faw6	Omega-6 fatty acids (mmol/l)	Fatty acids	Fatty acids	n-6 fatty acids (mmol/l)	n-6 fatty acids	Omega-6 fatty acids	Fatty acids
NA	Fatty acid	Mono-unsaturated fatty acids	SD	x	132	mufa	"Monounsaturated fatty acids; 16:1, 18:1 (mmol/l)"	Fatty acids	Fatty acids	MUFA (mmol/l)	MUFA	"Monounsaturated fatty acids; 16:1, 18:1"	Fatty acids
NA	Carbohydrate	Glucose	SD	x	142	glc	Glucose (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Glucose (mmol/l)	Glucose	Glucose	Glycolysis
NA	Carbohydrate	Lactate	SD	x	143	lac	Lactate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Lactate (mmol/l)	Lactate	Lactate	Glycolysis
NA	Carbohydrate	Pyruvate	SD	x	144	pyr	Pyruvate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Pyruvate (mmol/l)	Pyruvate	Pyruvate	Glycolysis
NA	Energy	Citrate	SD	x	145	cit	Citrate (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Citrate (mmol/l)	Citrate	Citrate	Glycolysis
Glol	Lipid	Glycerol	SD	x	146	glol	Glycerol (mmol/l)	Glycolysis related metabolites	Glycolysis related metabolites	Glycerol (mmol/l)	Glycerol	Glycerol	Glycolysis
NA	Amino acid	Alanine	SD	x	147	ala	Alanine (mmol/l)	Amino acids	Amino acids	Alanine (mmol/l)	Alanine	Alanine	AA
NA	Amino acid	Glutamine	SD	x	148	gln	Glutamine (mmol/l)	Amino acids	Amino acids	Glutamine (mmol/l)	Glutamine	Glutamine	AA
NA	Amino acid	Histidine	SD	x	149	his	Histidine (mmol/l)	Amino acids	Amino acids	Histidine (mmol/l)	Histidine	Histidine	AA
NA	Amino acid	Isoleucine	SD	x	151	ile	Isoleucine (mmol/l)	Amino acids	Branched-chain amino acids	Isoleucine (mmol/l)	Isoleucine	Isoleucine	AA: branched-chain
NA	Amino acid	Leucine	SD	x	152	leu	Leucine (mmol/l)	Amino acids	Branched-chain amino acids	Leucine (mmol/l)	Leucine	Leucine	AA: branched-chain
NA	Amino acid	Valine	SD	x	153	val	Valine (mmol/l)	Amino acids	Branched-chain amino acids	Valine (mmol/l)	Valine	Valine	AA: branched-chain
NA	Amino acid	Phenylalanine	SD	x	154	phe	Phenylalanine (mmol/l)	Amino acids	Aromatic amino acids	Phenylalanine (mmol/l)	Phenylalanine	Phenylalanine	AA: aromatic
NA	Amino acid	Tyrosine	SD	x	155	tyr	Tyrosine (mmol/l)	Amino acids	Aromatic amino acids	Tyrosine (mmol/l)	Tyrosine	Tyrosine	AA: aromatic
Ace	Metabolite salt	Acetate	SD	x	156	ace	Acetate (mmol/l)	Ketone bodies	Ketone bodies	Acetate (mmol/l)	Acetate	Acetate	Ketone bodies
AcAce	Keto acid	Acetoacetate	SD	x	157	acace	Acetoacetate (mmol/l)	Ketone bodies	Ketone bodies	Acetoacetate (mmol/l)	Acetoacetate	Acetoacetate	Ketone bodies
BOHBut	Lipid	3-hydroxybutyrate	SD	x	158	bohbut	3-hydroxybutyrate (mmol/l)	Ketone bodies	Ketone bodies	Beta-hydroxybutyrate (mmol/l)	Beta-hydroxybutyrate	3-hydroxybutyrate	Ketone bodies
NA	Amino acid	Creatinine	SD	x	159	crea	Creatinine (mmol/l)	Fluid balance	Fluid balance	Creatinine (mmol/l)	Creatinine	Creatinine	Fluid balance
Alb	Protein	Albumin	SD	x	160	alb	Albumin (signal area)	Fluid balance	Fluid balance	Albumin (signal area)	Albumin	Albumin	Fluid balance
Gp; mainly a1-acid glycoprotein	Protein	Glycoprotein acetyls	SD	x	161	gp	"Glycoprotein acetyls, mainly a1-acid glycoprotein (mmol/l)"	Inflammation	Inflammation	Glycoprotein acetyls (mmol/l)	Glycoprotein acetyls	"Glycoprotein acetyls, mainly a1-acid glycoprotein"	Inflammation
NA	Fatty acid	Average number of double bonds in a fatty acid chain	SD	NA	NA	NA	Average number of double bonds in a fatty acid chain	Fatty acids	Fatty acids	Average number of double bonds in a fatty acid chain	Average number of double bonds in a fatty acid chain	Average number of double bonds in a fatty acid chain	Fatty acids
NA	Fatty acid	Average number of methylene groups in a fatty acid chain	SD	NA	NA	NA	Average number of methylene groups in a fatty acid chain	Fatty acids	Fatty acids	Average number of methylene groups in a fatty acid chain	Average number of methylene groups in a fatty acid chain	Average number of methylene groups in a fatty acid chain	Fatty acids
CH2.DB.ratio	Metabolites ratio	Average number of methylene groups per double bond	SD	NA	NA	NA	Average number of methylene groups per double bond	Metabolites ratio	Metabolites ratio	Average number of methylene groups per double bond	Average number of methylene groups per double bond	Average number of methylene groups per double bond	Metabolites ratio
Gly	Protein	Glycoproteins	SD	NA	NA	NA	Glycoproteins	Protein	Protein	Glycoproteins	Glycoproteins	Glycoproteins	Protein
NA	Fatty acid	"Omega-7, omega-9 and saturated fatty acids"	SD	NA	NA	NA	"Omega-7, omega-9 and saturated fatty acids"	Fatty acids	Fatty acids	"Omega-7, omega-9 and saturated fatty acids"	"Omega-7, omega-9 and saturated fatty acids"	"Omega-7, omega-9 and saturated fatty acids"	Fatty acids
NA	Fatty acid	Other polyunsaturated fatty acids than 18:2	SD	NA	NA	NA	Other polyunsaturated fatty acids than 18:2	Fatty acids	Fatty acids	Other polyunsaturated fatty acids than 18:2	Other polyunsaturated fatty acids than 18:2	Other polyunsaturated fatty acids than 18:2	Fatty acids
