note	subcategory	name	unit	Column1	Column2	metabolite	raw.label	class	subclass	label	label.no.units	raw.label.no.units	subclass.abbreviated
XXL.VLDL.P	Lipid	Concentration of chylomicrons and largest VLDL particles	SD	x	1	xxlvldlp	Concentration of chylomicrons and extremely large VLDL particles (mol/l)	Lipoprotein subclasses	Extremely large VLDL	Particle concentration (mol/l)	Particle concentration	Concentration of chylomicrons and extremely large VLDL particles	EL VLDL
XXL.VLDL.L	Lipid	Total lipids in chylomicrons and largest VLDL particles	SD	x	2	xxlvldll	Total lipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Total lipids (mmol/l)	Total lipids	Total lipids in chylomicrons and extremely large VLDL	EL VLDL
XXL.VLDL.PL	Lipid	Phospholipids in chylomicrons and largest VLDL particles	SD	x	3	xxlvldlpl	Phospholipids in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in chylomicrons and extremely large VLDL	EL VLDL
XXL.VLDL.TG	Lipid	Triglycerides in chylomicrons and largest VLDL particles	SD	x	7	xxlvldltg	Triglycerides in chylomicrons and extremely large VLDL (mmol/l)	Lipoprotein subclasses	Extremely large VLDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in chylomicrons and extremely large VLDL	EL VLDL
XL.VLDL.P	Lipid	Concentration of very large VLDL particles	SD	x	8	xlvldlp	Concentration of very large VLDL particles (mol/l)	Lipoprotein subclasses	Very large VLDL	Particle concentration (mol/l)	Particle concentration	Concentration of very large VLDL particles	VL VLDL
XL.VLDL.L	Lipid	Total lipids in very large VLDL	SD	x	9	xlvldll	Total lipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Total lipids (mmol/l)	Total lipids	Total lipids in very large VLDL	VL VLDL
XL.VLDL.PL	Lipid	Phospholipids in very large VLDL	SD	x	10	xlvldlpl	Phospholipids in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in very large VLDL	VL VLDL
XL.VLDL.TG	Lipid	Triglycerides in very large VLDL	SD	x	14	xlvldltg	Triglycerides in very large VLDL (mmol/l)	Lipoprotein subclasses	Very large VLDL	Triglycerides (mmol/l)	Triglycerides	Triglycerides in very large VLDL	VL VLDL
L.VLDL.P	Lipid	Concentration of large VLDL particles	SD	x	15	lvldlp	Concentration of large VLDL particles (mol/l)	Lipoprotein subclasses	Large VLDL	Particle concentration (mol/l)	Particle concentration	Concentration of large VLDL particles	L VLDL
L.VLDL.L	Lipid	Total lipids in large VLDL	SD	x	16	lvldll	Total lipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total lipids (mmol/l)	Total lipids	Total lipids in large VLDL	L VLDL
L.VLDL.PL	Lipid	Phospholipids in large VLDL	SD	x	17	lvldlpl	Phospholipids in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Phospholipids (mmol/l)	Phospholipids	Phospholipids in large VLDL	L VLDL
L.VLDL.C	Lipid	Total cholesterol in large VLDL	SD	x	18	lvldlc	Total cholesterol in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Total cholesterol (mmol/l)	Total cholesterol	Total cholesterol in large VLDL	L VLDL
L.VLDL.CE	Lipid	Cholesterol esters in large VLDL	SD	x	19	lvldlce	Cholesterol esters in large VLDL (mmol/l)	Lipoprotein subclasses	Large VLDL	Cholesterol esters (mmol/l)	Cholesterol esters	Cholesterol esters in large VLDL	L VLDL
